pos,abbrev_player_name,projected_games,team_importance_rating,status
START
ATL
SG2,Kentavious Caldwell-Pope,78,8
SG3,Avery Bradley,65,11
SG4,Alex Caruso,65,9
SG5,Troy Daniels,51,14
SF1,Lebron James,73,2
SF2,Kyle Kuzma,76,6,I
SF4,Jared Dudley,59,12
PF1,Anthony Davis,74,3
C1,Dwight Howard,72,7
C2,Javale McGee,74,4
START
MEM
PG1,Ja Morant,71,1
PG2,Tyus Jones,71,6
PG3,De'Anthony Melton,50,10
SG1,Dillon Brooks,71,2
SG2,Grayson Allen,69,11
SG3,Josh Jackson,78,12
SF1,Kyle Anderson,73,3
SF2,Jae Crowder,79,7
PF1,Jaren Jackson Jr.,73,4
PF2,Brandon Clarke,75,9
C1,Jonas Valanciunas,69,5
C2,Bruno Caboclo,55,8
START
MIA
PG1,Justice Winslow,66,1
PG2,Goran Dragic,64,8
SG1,Tyler Herro,76,2
SG2,Dion Waiters,62,7
SF1,Jimmy Butler,71,3
SF2,Derrick Jones Jr.,71,9
PF1,Kelly Olynyk,78,4
PF3,James Johnson,73,10
C1,Bam Adebayo,77,5
C3,Meyers Leonard,72,6
C4,Udonis Haslem,40,11
START
MIL
PG1,Eric Bledsoe,75,1
PG2,George Hill,72,8
PG3,Donte DiVincenzo,59,12
SG1,Wesley Matthews,75,2
SG2,Pat Connaughton,69,9
SG3,Kyle Korver,70,13
SF1,Kris Middleton,75,3
SF2,Sterling Brown,68,7
PF1,Giannis Antetokounmpo,80,4
PF2,Ersan Ilyasova,70,6
PF3,D.J. Wilson,48,11
C1,Brook Lopez,77,5
C2,Robin Lopez,76,10
C5,Dragan Bender,68,14
START
MIN
PG1,Jeff Teague,71,1
PG2,Shabazz Napier,70,6
SG1,Andrew Wiggins,77,2
SG2,Josh Okogie,77,7
SF1,Jake Layman,71,3
SF2,Jarrett Culver,75,8
PF1,Robert Covington,76,4
PF2,Keita Bates-Diop,68,10
PF3,Jordan Bell,65,11
PF4,Noah Vonleh,71,12
C1,Karl Anthony-Towns,80,5
C2,Gorgui Dieng,78,9
START
NOP
PG1,Lonzo Ball,67,1
PG2,Nickeil Alexander,Walker,75,11
PG3,Frank Jackson,64,12
SG1,Jrue Holiday,78,2
SG2,J.J. Redick,78,7
SF1,Brandon Ingram,71,3
SF3,E'Twaun Moore,53,10
SF4,Josh Hart,70,9
PF1,Zion Williamson,52,4,I
PF4,Kenrich Williams,41,6
C1,Derrick Favors,76,5
C2,Jahlil Okafor,538
C3,Jaxson Hayes,71,13
START
NYK
PG1,Dennis Smith Jr.,68,1
PG2,Elfrid Payton,76,6
PG3,Emmanuel Mudiay,69,9
PG4,Frank Ntilikina,43,15
SG1,R.J. Barrett,76,2
SG2,Reggie Bullock,7,63,I
SG3,Wayne Ellington,70,11
SG4,Allonzo Trier,71,14
SF1,Marcus Morris,74,3
SF2,Kevin Knox,77,8
SF3,Damyean Dotson,74,13
PF1,Julius Randle,73,4
PF2,Bobby Portis,72,12
C1,Mitchell Robinson,75,5
C3,Taj Gibson,77,10
START
OKC
PG1,Chris Paul,64,1
PG3,Dennis Schroder,79,8
SG1,Shai Gilgeous,Alexander,78,2
SG2,Hamidou Diallo,69,9
SF1,André Roberson,65,3,I
SF2,Terrance Ferguson,74,7
SF3,Abdel Nader,61,11
PF1,Danillo Gallinari,64,4
PF2,Mike Muscala,62,10
C1,Steven Adams,79,5
C2,Nerlens Noel,59,6
START
ORL
PG1,D.J. Augustin,80,1
PG2,Michael Carter,Williams,38,8
PG3,Markelle Fultz,62,9
SG1,Evan Fournier,74,2
SG2,Terrence Ross,81,7
SF1,Jonathon Isaac,75,3
SF2,Al Farouq-Aminu,81,6
PF1,Aaron Gordon,72,4
C1,Nikola Vucevic,69,5
C2,Mo Bamba,64,10
C3,Khem Birch,50,11
PHI
PG1,Ben Simmons,80,1
PG2,Shake Milton,50,9
PG3,Trey Burke,51,12
SG1,Josh Richardson,73,2
SG2,Matisse Thybulle,67,6
SG3,Zhaire Smith,71,11
SG4,Frank Korkmaz,50,
SF1,Tobias Harris,82,3
SF2,James Ennis III,63,10
PF1,Al Horford,72,4
PF2,Mike Scott,69,7
C1,Joel Embiid,69,5
C2,Kyle O'Quinn,45,8
PHO
PG1,Ricky Rubio,75,1
PG2,Jevon Carter,60,11
PG3,Ty Jerome,60,12
SG1,Devin Booker,71,2
SG2,Tyler Johnson,69,7
SF1,Kelly Oubre Jr.,75,3
SF2,Mikal Bridges,79,6
SF3,Cameron Johnson,69,10
PF1,Dario Saric,79,4
PF2,Frank Kaminsky,66,8
C1,Deandre Ayton,54,5,I
C2,Aaron Baynes,51,9
START
POR
PG1,Damian Lillard,78,1
PG2,Anfernee Simons,71,9
SG1,C.J. McCollum,77,2
SG2,Gary Trent Jr.,12
SF1,Rodney Hood,73,3
SF2,Kent Bazemore,74,7
SF3,Mario Hezonja,69,8
SF4,Nassir Little,63,13
PF1,Zach Collins,75,4
PF2,Anthony Tolliver,74,10
C1,Hassan Whiteside,72,6
C3,Pau Gasol,30,14,I
C4,Skal Labissiere,60,11
C6,Jusuf Nurkic,33,5,I
START
SAC
PG1,De'Aaron Fox,79,1
PG2,Cory Joseph,82,6
SG1,Buddy Hield,82,2
SG2,Bogdan Bogdanovic,70,7
SG3,Yogi Ferrell,71,12
SF1,Harrison Barnes,77,3
SF2,Trevor Ariza,73,8
PF1,Marvin Bagley III,71,4,I
PF2,Nemanja Bjelica,77,10
PF3,Henry Giles III,69,9
C1,Dewayne Dedmon,72,5
C2,Richaun Holmes,69,11
START
SAS
PG1,Dejounte Murray,71,1
PG2,Derrick White,76,6
PG3,Patty Mills,80,7
SG1,Byrn Forbes,82,3
SG4,Marco Belinelli,75,10
SF1,DeMar DeRozan,77,2
SF2,DeMarre Carroll,74,8
SF3,Lonnie Walker IV,67,11
PF1,LaMarcus Aldridge,76,4
PF2,Rudy Gay,69,9
PF3,Trey Lyles,73,12
C1,Jakob Poeltl,77,5
START
TOR
PG1,Kyle Lowry,68,1
SG1,Fred VanVleet,64,2
SG2,Norman Powell,73,7
SG4,Patrick McCaw,65,11
SF1,O.G. Anunoby,72,3
SF2,Stanley Johnson,69,8
PF1,Pascal Siakam,79,4
PF2,Rondae Hollis-Jefferson,59,9
C1,Marc Gasol,76,5
C2,Serge Ibaka,75,6
C3,Chris Boucher,69,10
START
UTA
PG1,Mike Conley,68,1
PG2,Dante Exum,50,8,I
SG1,Donovan Mitchell,78,2
SF1,Bojan Bogdanovic,81,4
SF2,Joe Ingles,82,7
SF3,Royce O'Neale,77,3
PF1,Jeff Green,77,4
PF2,Georges Niang,59,10
C1,Rudy Gobert,74,5
C2,Ed Davis,75,9
C3,Tony Bradley,65,11
START
WAS
PG1,Ish Smith,68,1
PG2,Isaiah Thomas,59,6
SG1,Bradley Beal,81,2
SG2,Jordan McRae,55,7,I
SF1,CJ Miles,62,3,I
SF2,Troy Brown Jr.,69,8,I
SF3,Isaac Bonga,50,13
PF1,Rui Hachimura,74,4
PF2,Davis Bertans,76,9
PF3,Moritz Wagner,43,10
PF4,Admiral Schofield,55,12
C1,Thoma Bryant,74,5
C2,Ian Mahinmi,46,11,I


