player_name,war_total_per_82_reg,raptor_total_plus_minus_reg,team,season,in_rotation
Ivan Rabb,-0.2,-3.1,MEM,2020
Ivica Zubac,0.8,-1.6,LAL,2020
J.J. Barea,0.1,-2.4,DAL,2020
JJ Redick,2.8,0.2,NOP,2020
JaMychal Green,0.4,-2.1,LAC,2020
JaVale McGee,1.6,0.1,LAL,2020
Jabari Parker,0.9,-1.6,ATL,2020
Jae Crowder,2.7,0.2,MEM,2020
Jahlil Okafor,0.1,-2.5,NOP,2020
Jake Layman,0.3,-2.1,MIN,2020
Jakob Poeltl,3.0,1.2,SAS,2020
Jalen Brunson,2.5,0.1,DAL,2020
Jamal Murray,6.0,2.0,DEN,2020
James Harden,17.1,10.3,HOU,2020
James Johnson,0.7,-1.6,MIA,2020
Jaren Jackson Jr.,4.2,2.0,MEM,2020
Jarred Vanderbilt,0.6,-1.2,DEN,2020
Jarrett Allen,-0.2,-2.9,BKN,2020
Jaylen Brown,3.4,0.5,BOS,2020
Jayson Tatum,6.0,1.8,BOS,2020
Jeff Green,0.5,-2.1,UTA,2020
Jeff Teague,1.4,-0.9,MIN,2020
Jerami Grant,3.4,0.3,DEN,2020
Jeremy Lamb,4.4,1.5,IND,2020
Jerome Robinson,1.4,0.1,LAC,2020
Jevon Carter,1.1,-0.1,PHO,2020
Jimmy Butler,8.9,4.8,MIA,2020
Joe Harris,1.9,-0.8,BKN,2020
Joe Ingles,4.3,1.3,UTA,2020
Joel Embiid,10.2,6.2,PHI,2020
John Collins,5.0,1.8,ATL,2020
John Henson,1.0,-0.7,ATL,2020
Jonas Valanciunas,2.6,0.6,MEM,2020
Jonathan Isaac,3.6,0.7,ORL,2020
Jordan Bell,0.7,-1.3,MIN,2020
Jordan Clarkson,1.7,-0.9,CLE,2020
Jordan McRae,0.6,-1.0,WAS,2020
Josh Hart,3.1,0.8,NOP,2020
Josh Jackson,0.6,-2.1,MEM,2020
Josh Okogie,4.5,1.5,MIN,2020
Josh Richardson,6.1,2.2,PHI,2020
Jrue Holiday,8.1,3.7,NOP,2020
Juancho Hernangomez,1.1,-0.9,DEN,2020
Julius Randle,1.1,-1.7,NOP,2020
Justin Holiday,2.0,-0.7,IND,2020
Justin Jackson,0.7,-1.9,DAL,2020
Justise Winslow,3.7,0.8,MIA,2020
Jusuf Nurkic,7.3,4.3,POR,2020
Karl-Anthony Towns,8.8,4.5,MIN,2020
Kawhi Leonard,9.8,6.3,LAC,2020
Kelly Olynyk,2.8,0.6,MIA,2020
Kelly Oubre Jr.,2.4,-0.3,PHO,2020
Kemba Walker,9.9,4.9,BOS,2020
Kenrich Williams,1.7,-0.2,NOP,2020
Kent Bazemore,1.2,-1.1,POR,2020
Kentavious Caldwell-Pope,3.1,0.4,LAL,2020
Kevin Durant,5.6,2.6,BKN,2020
Kevin Huerter,2.4,-0.6,ATL,2020
Kevin Knox,-2.9,-5.6,NYK,2020
Kevin Love,3.1,1.5,CLE,2020
Kevon Looney,4.0,2.2,GSW,2020
Khem Birch,1.3,-0.2,ORL,2020
Khris Middleton,5.6,2.2,MIL,2020
Klay Thompson,3.3,0.4,GSW,2020
Kris Dunn,1.8,-0.5,CHI,2020
Kyle Anderson,3.0,0.7,MEM,2020
Kyle Korver,0.6,-1.6,MIL,2020
Kyle Kuzma,1.7,-1.2,LAL,2020
Kyle Lowry,9.4,5.2,TOR,2020
Kyrie Irving,9.7,5.6,BKN,2020
LaMarcus Aldridge,4.0,1.1,SAS,2020
Landry Shamet,3.4,0.7,LAC,2020
Langston Galloway,1.4,-0.7,DET,2020
Larry Nance Jr.,4.5,1.9,LAL,2020
Lauri Markkanen,3.5,0.5,CHI,2020
LeBron James,6.4,3.3,LAL,2020
Lonnie Walker IV,0.4,-1.9,SAS,2020
Lonzo Ball,4.7,1.8,NOP,2020
Lou Williams,1.8,-0.6,LAC,2020
Luka Doncic,8.5,3.4,DAL,2020
Luke Kennard,1.4,-1.1,DET,2020
Luke Kornet,1.4,-0.2,CHI,2020
Malcolm Brogdon,4.7,2.1,MIL,2020
Malik Beasley,2.0,-0.5,DEN,2020
Malik Monk,0.0,-2.7,CHA,2020
Marc Gasol,4.0,1.2,TOR,2020
Marco Belinelli,0.3,-2.2,SAS,2020
Marcus Morris,1.3,-1.2,NYK,2020
Marcus Smart,5.5,2.6,BOS,2020
Mario Hezonja,1.0,-1.3,POR,2020
Markelle Fultz,2.4,0.7,ORL,2020
Markieff Morris,0.4,-2.2,DET,2020
Marquese Chriss,-0.5,-3.9,GSW,2020
Marvin Bagley III,1.3,-1.4,SAC,2020
Marvin Williams,0.9,-1.6,CHA,2020
Mason Plumlee,1.3,-0.9,DEN,2020
Matthew Dellavedova,0.2,-2.2,CLE,2020
Maurice Harkless,2.8,0.6,LAC,2020
Maxi Kleber,2.0,0.0,DAL,2020
Meyers Leonard,0.0,-2.8,MIA,2020
Michael Carter-Williams,2.2,1.6,ORL,2020
Michael Kidd-Gilchrist,2.3,0.4,CHA,2020
Mikal Bridges,4.5,0.9,PHO,2020
Mike Conley,6.6,3.7,MEM,2020
Mike Muscala,0.7,-1.6,OKC,2020
Mike Scott,-0.6,-4.2,PHI,2020
Miles Bridges,1.4,-1.2,CHA,2020
Mitchell Robinson,2.3,0.1,NYK,2020
Mo Bamba,0.2,-2.5,ORL,2020
Monte Morris,3.5,1.3,DEN,2020
Montrezl Harrell,3.2,0.5,LAC,2020
Myles Turner,3.5,0.6,IND,2020
Nemanja Bjelica,2.6,0.9,SAC,2020
Nerlens Noel,2.2,0.8,OKC,2020
Nicolas Batum,1.7,-1.0,CHA,2020
Nikola Jokic,13.1,7.6,DEN,2020
Nikola Vucevic,5.8,2.5,ORL,2020
Noah Vonleh,1.4,-0.9,MIN,2020
Norman Powell,1.0,-1.1,TOR,2020
OG Anunoby,0.7,-1.6,TOR,2020
Otto Porter Jr.,6.3,2.8,CHI,2020
PJ Tucker,3.9,0.9,HOU,2020
Pascal Siakam,5.1,1,6,TOR,2020
Pat Connaughton,1.6,-0.4,MIL,2020
Patrick Beverley,3.7,2.0,LAC,2020
Patty Mills,1.8,-0.3,SAS,2020
Paul George,12.6,6.7,LAC,2020
Paul Millsap,3.9,1.9,DEN,2020
Quinn Cook,0.1,-2.5,LAL,2020
Rajon Rondo,0.6,-1.8,LAL,2020
Raul Neto,1.6,0.8,PHI,2020
Reggie Bullock,1.1,-1.5,NYK,2020
Reggie Jackson,1.7,-0.7,DET,2020
Ricky Rubio,4.9,2.2,PHO,2020
Robert Covington,6.3,3.4,MIN,2020
Robert Williams III,0.8,-0.6,BOS,2020
Robin Lopez,-0.7,-4.0,MIL,2020
Rodney Hood,1.6,-0.8,POR,2020
Rodney McGruder,0.8,-1.5,LAC,2020
Rondae Hollis-Jefferson,2.1,0.1,TOR,2020
Royce O'Neale,2.1,-0.1,UTA,2020
Rudy Gay,2.5,0.5,SAS,2020
Rudy Gobert,9.1,4.7,UTA,2020
Russell Westbrook,7.2,2.9,HOU,2020
Semi Ojeleye,-0.1,-3.0,BOS,2020
Serge Ibaka,1.9,-0.6,TOR,2020
Seth Curry,1.6,-0.1,DAL,2020
Shabazz Napier,2.6,1.3,MIN,2020
Shai Gilgeous-Alexander,3.4,0.3,OKC,2020
Shake Milton,0.8,-0.9,PHI,2020
Shaquille Harrison,1.8,0.2,CHI,2020
Skal Labissiere,-0.2,-3.4,POR,2020
Spencer Dinwiddie,3.5,0.8,BKN,2020
Stanley Johnson,1.1,-1.2,TOR,2020
Stephen Curry,10.9,7.2,GSW,2020
